"ID","Site","SystemID","FID","System No","CSL ID","Finding ID","Finding Description","Priority ID","Priority","CAPA ID","CAPA Description","Modified","Created","Created By","Modified By"
"50","BMW","BMW-LAS_012","BMW-LAS_012-ES2-1-4","LAS_012","4C5MET402666","ES2","It is possible for a user to e-sign an electronic record created by another user. The system maintains a copy of non-signed report that everyone can sign.","1","HIGH","4","Implement a documented periodic check of e-signed reports to make sure that the reports are signed by the user that create the report","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"51","BMW","BMW-LAS_012","BMW-LAS_012-I4-1-2","LAS_012","4C5MET402666","I4","Autosave functionality for output records is not available","1","HIGH","2","Investigate the capability of SW to autosave data and enable autosave function if possible
 or
 implement and document the manual workaround for saving output records","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"52","BMW","BMW-LAS_012","BMW-LAS_012-S2-2-1","LAS_012","4C5MET402666","S2","System does not allow to configure multiple access levels (e.g. User Profile)","2","SIGNIFICANT","1","Update Utilization SOP defining User levels and related privileges","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"53","BMW","BMW-LAS_012","BMW-LAS_012-T1-2-3","LAS_012","4C5MET402666","T1","Audit Trail is not complete since reason for change or information for relevant operations are not included","2","SIGNIFICANT","3","Implement a paper based management in case of Audit Trail not fully compliant (i.e. old&new values or reason for change are not recorded)","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"54","BMW","BMW-LAS_012","BMW-LAS_012-VD1-1-5","LAS_012","4C5MET402666","VD1","Computer System Validation Documents not available (not executed or not retrievable)","1","HIGH","5","Create/retrieve the missing validation documents covering the following topics:
a. Validation Plan
b. CSV SOPs
c. User Requirements
d. Configuration / Design Specifications
e. Risk Assessment
f. testing documentation
g. Report","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"55","BMW","BMW-LAS_013","BMW-LAS_013-I1-2-1","LAS_013","4C5MET400042","I1","No backup is in place for ER, as defined in relevant SOP. ER are managed though paper printing.","2","SIGNIFICANT","1","Implement a process of automatic data backup following the relevant procedure and best practice, or document, using a risk based approach, 
the rationale for which local ER are not managed.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"56","BMW","BMW-LAS_013","BMW-LAS_013-I3-2-2","LAS_013","4C5MET400042","I3","Data can be altered through OS functionalities (e.g. file deletion, renaming) by all users","2","SIGNIFICANT","2","Implement an automatic security policy for data protection on the server and/or on the local OS through active directories policies, OS folder restrictions or external security tool and configure User Privileges in such that users may not have the possibility to delete data.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"57","BMW","BMW-LAS_013","BMW-LAS_013-T1-2-3","LAS_013","4C5MET400042","T1","No automatic Audit Trail or automatic data versioning is allowed by the SW application. Data can be modified/overwritten without any automatic traceability","2","SIGNIFICANT","3","Implement Audit Trail functionality within the SW or implement a fully compliant paper based management in case of Audit Trail not compliant","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"58","BMW","BMW-LAS_013","BMW-LAS_013-T3-3-4","LAS_013","4C5MET400042","T3","No AT is provided from the system.","3","MODERATE","4","Implementation of action reported in T1 section. Consequent implementation of an Audit Trail Review process","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"59","BMW","BMW-LAS_013","BMW-LAS_013-T4-3-5","LAS_013","4C5MET400042","T4","Printed results are routinely generated and maintained. No policy is implemented for ERs. The system has a limited memory for storing ERs.","3","MODERATE","5","Implement a Security policy for ERs or document, using a risk based approach, the rationale for which local ER are not managed.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"60","BMW","BMW-LAS_013","BMW-LAS_013-VD1-2-6","LAS_013","4C5MET400042","VD1","Computer System Validation Documents not available (not executed or not retrievable)","2","SIGNIFICANT","6","Create/retrieve the missing validation documents covering the following topics:
a. Validation Plan
b. CSV SOPs
c. User Requirements
d. Configuration / Design Specifications
e. Risk Assessment
f. testing documentation
g. Report","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"61","BMW","BMW-LAS_014","BMW-LAS_014-I1-2-1","LAS_014","4C5MET401472","I1","An automatic backup process is not in place","2","SIGNIFICANT","1","Implement a process of automatic data backup following the relevant procedure and best practice","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"62","BMW","BMW-LAS_014","BMW-LAS_014-I2-2-2","LAS_014","4C5MET401472","I2","Once logged in there is access to the control panel, than access to the local folder and delete the raw data (only with the keyboard connected).","2","SIGNIFICANT","2","Implement an automatic security policy for data protection or folder restrictions","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"63","BMW","BMW-LAS_014","BMW-LAS_014-I3-2-3","LAS_014","4C5MET401472","I3","Data can be altered through OS functionalities (e.g. file deletion, renaming) by all users","2","SIGNIFICANT","3","Implement an automatic security policy for data protection on the server and/or on the local OS through active directories policies, OS folder restrictions or external security tool and configure User Privileges in such that users may not have the possibility to delete data.","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"64","BMW","BMW-LAS_014","BMW-LAS_014-T1-2-4","LAS_014","4C5MET401472","T1","No automatic Audit Trail or automatic data versioning is allowed by the SW application. Data can be modified/overwritten without any automatic traceability","2","SIGNIFICANT","4","Implement Audit Trail functionality within the SW or implement a fully compliant paper based management in case of Audit Trail not compliant","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"65","BMW","BMW-LAS_014","BMW-LAS_014-T4-3-6","LAS_014","4C5MET401472","T4","True Copy are routinely generated and maintained but in a non-protected format, also with no backup, so the system will replace them with new ones.","3","MODERATE","6","Implement Backup and Archiving procedure along with a procedure to maintain original data or True copy for the required time","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"66","BMW","BMW-LAS_014","BMW-LAS_014-VD1-2-7","LAS_014","4C5MET401472","VD1","Computer System Validation Documents not available (not executed or not retrievable)","2","SIGNIFICANT","7","Create/retrieve the missing validation documents covering the following topics:
a. Validation Plan
b. CSV SOPs
c. User Requirements
d. Configuration / Design Specifications
e. Risk Assessment
f. testing documentation
g. Report","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"67","BMW","BMW-LAS_014","BMW-LAS_014-T3-3-5","LAS_014","4C5MET401472","T3","No AT is provided from the system.","3","MODERATE","5","Implementation of action reported in T1 section. Consequent implementation of an Audit Trail Review process","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"68","BMW","BMW-LAS_015","BMW-LAS_015-I2-1-1","LAS_015","4C5MET401285","I2","Deletion option for output data available for all users, included not authorized ones. Input record (methods) can be edited/overwritten by the authorized users without AT tracking, and without automatic versioning.","1","HIGH","1","Change permissions of users in order to prevent alteration/deletion of output data.
Implement paper based management of input ER versioning. E.g. improve relevant procedure including a naming convention for the versioning of the method saved in the system (or establish  other univocal link between the paper based form the ER).","9/20/2023 11:05 AM","9/20/2023 11:05 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
