"ID","Site","SystemID","System No","CSL ID","Risk Level","Product","Plant","Business Unit","Control SW + Version","Controlled Equipment","Remediation Due Date","Modified","Created","Created By","Modified By"
"14","BMW","BMW-LAS_016","LAS_016","4C5MET401850","HIGH",,"Broadmeadows","Chemistry","Leco Trumac (1.50)","Leco TruMac N Dumas Nitrogen Analyser",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"15","BMW","BMW-LAS_017","LAS_017","4C5MET401970","HIGH",,"Broadmeadows","Chemistry","Leco Trumac (1.50)","Leco TruMac N Dumas Nitrogen Analyser",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"16","BMW","BMW-LAS_018","LAS_018","4C6MET401097","HIGH",,"Broadmeadows","BioChem","BD FACSDiva (8.0.1)","BD FACSCanto II Flow Cytometer",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"17","BMW","BMW-LAS_019","LAS_019","4C5MET04530","MEDIUM",,"Broadmeadows","Chemistry","Omnic (9.12) + Audit Manager 1.5.0.29","Thermo Nicolet iS10 FTIR",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"18","BMW","BMW-LAS_020","LAS_020","4C5MET00397
4C5MET04531
4C5MET402050
4C5MET401948
4C5MET401949
4C5MET00483
4C5MET00484
4C5MET04201
4C5MET04202
4C5MET04203
4C5MET401139
4C5MET401140
4C5MET401141
4C5MET401142
4C5MET401946
4C5MET401947
4C6MET401950","HIGH",,"Broadmeadows","Chemistry","Empower (3.3471)","Agilent 6890N GC
Agilent 6890N GC
Agilent 7890B GC with Headspace
Agilent 7890B GC with Headspace
Metrohm Compact IC Flex
Metrohm Compact IC Flex
Waters UPLC H-Class
Waters UPLC H-Class
Waters UPLC H-Class
Waters UPLC H-Class
Waters UPLC H-Class
Agilent 1200 HPLC
Agilent 1200 HPLC
Agilent 1200 HPLC
Agilent 1200 HPLC
Thermo Dionex LC
Thermo Dionex LC
Capillary Electrophoresis",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"19","BMW","BMW-LAS_021","LAS_021","4C5MET401099","HIGH",,"Broadmeadows","Chemistry","Tiamo (2.5)","Metrohm 867 Autotitrator",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"20","BMW","BMW-LAS_022","LAS_022","4C5MET400039","HIGH",,"Broadmeadows","Chemistry","Compass (2.2)","FOSS Kjeldahl Nitrogen Analysers",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"21","BMW","BMW-LAS_023","LAS_023","4C5MET401864","HIGH",,"Broadmeadows","Chemistry","Compass (2.2)","FOSS Kjeldahl Nitrogen Analysers",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"22","BMW","BMW-LAS_024","LAS_024","4C6MET04463","HIGH",,"Broadmeadows","BioChem","BN Prospec Viewer (1.4.1)","Siemens BN Prospec Neph",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"23","BMW","BMW-LAS_025","LAS_025","4C6MET401846","HIGH",,"Broadmeadows","BioChem","Aneph 630 Viewer (1.1.1)","Siemens Atellica Neph 630",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"24","BMW","BMW-LAS_026","LAS_026","4C5MET00386","HIGH",,"Broadmeadows","Chemistry","Opus (8.5)","Bruker MPA System NIR",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"25","BMW","BMW-LAS_027","LAS_027","4C5MET401500","HIGH",,"Broadmeadows","Chemistry","Opus (8.5)","Bruker MPA System NIR",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"26","BMW","BMW-LAS_028","LAS_028","4C6MET00116","MEDIUM",,"Broadmeadows","BioChem","1. GxP Admin (2.1)                               2.   Softmax Pro GxP (7.02)","Bio-Strategy Tunable Versamax",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"27","BMW","BMW-LAS_029","LAS_029","4C6MET04462","MEDIUM",,"Broadmeadows","BioChem","Freedom Evoware 2 standard (2.7 SP1)","Tecan EVO200 Sunrise",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"28","BMW","BMW-LAS_030","LAS_030","4C6MET04474","MEDIUM",,"Broadmeadows","BioChem","1. GxP Admin (2.1)                               2.   Softmax Pro GxP (7.02)","Bio-Strategy Tunable Versamax",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"29","BMW","BMW-LAS_031","LAS_031","4C6MET401454","MEDIUM",,"Broadmeadows","BioChem","1. GxP Admin (2.1)                               2.   Softmax Pro GxP (7.02)","Bio-Strategy Tunable Versamax",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"30","BMW","BMW-LAS_032","LAS_032","4C6MET402182","HIGH",,"Broadmeadows","BioChem","Endoscan-V & Endosafe Nexus software package (5.5.5 & 2.6.0)","Charles River Endosafe Nexus",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"31","BMW","BMW-LAS_033","LAS_033","4C6MET402183","HIGH",,"Broadmeadows","BioChem","Endoscan-V & Endosafe Nexus software package (5.5.5 & 2.6.0)","Charles River Endosafe Nexus",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"32","BMW","BMW-LAS_034","LAS_034","4C6MET402184","HIGH",,"Broadmeadows","BioChem","Endoscan-V & Endosafe Nexus software package (5.5.5 & 2.6.0)","Charles River Endosafe Nexus",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"33","BMW","BMW-LAS_035","LAS_035","4C6MSC402475","MEDIUM",,"Broadmeadows","BioChem","1. GxP Admin (2.1)                               2.   Softmax Pro GxP (7.02)","Bio-Strategy Tunable Versamax",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"34","BMW","BMW-LAS_036","LAS_036","4C5MET401879","MEDIUM",,"Broadmeadows","Chemistry","Omnic (9.8)","Thermo DXR2 Benchtop Raman",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"35","BMW","BMW-LAS_038","LAS_038","4C5MET401792","MEDIUM",,"Broadmeadows","Chemistry","Sievers DataPro 2 (1.06)","TOC and Conductivity Analyser",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"36","BMW","BMW-LAS_039","LAS_039"," 4C5MET402874","MEDIUM",,"Broadmeadows","Chemistry","Sievers DataPro 2 (1.09)","TOC and Conductivity Analyser",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"37","BMW","BMW-LAS_040","LAS_040","4C5MET402875","MEDIUM",,"Broadmeadows","Chemistry","Sievers DataPro 2 (1.09)","TOC and Conductivity Analyser",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"38","BMW","BMW-LAS_041","LAS_041","4C5MET04486","MEDIUM",,"Broadmeadows","Chemistry","UV Winlab ES (6.4.0)","Perkin Elmer UV/VIS LAMBDA 35",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"39","BMW","BMW-LAS_042","LAS_042","4C5MET401452","MEDIUM",,"Broadmeadows","Chemistry","UV Winlab ES (6.4.0)","Perkin Elmer UV/VIS LAMBDA 365",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"40","BMW","BMW-LAS_043","LAS_043","4C5MET400512","MEDIUM",,"Broadmeadows","Chemistry","SpectraEDX (2.4.3)","Bruker S2 Ranger XRF",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"41","BMW","BMW-LAS_046","LAS_046","4C4MET402528","MEDIUM",,"Broadmeadows","Microbiology","PhamrSpec (V3.4.0.16384)","Liquid Particle Counting System",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"42","BMW","BMW-LAS_047","LAS_047","N/A","HIGH",,"Broadmeadows","BioChem","Magelian Tracker (7.2 SP1)","Sunrise Plate Reader",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"43","BMW","BMW-LAS_048","LAS_048","N/A","MEDIUM",,"Broadmeadows","BioChem","PLA (2.1)","CSL Network PC",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"44","BMW","BMW-LAS_049","LAS_049","N/A","LOW",,"Broadmeadows","BioChem","Bioassay Assist (1)","CSL Network PC",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"45","BMW","BMW-LAS_050","LAS_050","N/A","LOW",,"Broadmeadows","BioChem","Combistat (6.0)","CSL Network PC",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"46","BMW","BMW-LAS_052","LAS_052","4C5MET400048","LOW",,"Broadmeadows","Chemistry","Firmware","HACH Turbidity Meter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"47","BMW","BMW-LAS_055","LAS_055","4C5MET04532","MEDIUM",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo Melting Point MP70",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"48","BMW","BMW-LAS_056","LAS_056","4C5MET04529","MEDIUM",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo Refractometer RM40",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"49","BMW","BMW-LAS_057","LAS_057","4C5MET400045","MEDIUM",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo pH Meter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"50","BMW","BMW-LAS_059","LAS_059","4C6MET402043","MEDIUM",,"Broadmeadows","BioChem","Firmware","pH Meter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"51","BMW","BMW-LAS_060","LAS_060","4C6MET402044","MEDIUM",,"Broadmeadows","BioChem","Firmware","pH Meter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"52","BMW","BMW-LAS_061","LAS_061","4C5MET04551","MEDIUM",,"Broadmeadows","Chemistry","Firmware","Brookfield DV2T Viscometer",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"53","BMW","BMW-LAS_062","LAS_062","4C5MET00496","LOW",,"Broadmeadows","Chemistry","Firmware v4.10","Crison Conductivity Meter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"54","BMW","BMW-LAS_063","LAS_063","4C5MET400041","LOW",,"Broadmeadows","Chemistry","Firmware","Knick Conductivity Meter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"55","BMW","BMW-LAS_064","LAS_064","4C5MET402674","LOW",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo SevenExcellence Conductivity Meter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"56","BMW","BMW-LAS_065","LAS_065","4C5MET04527","MEDIUM",,"Broadmeadows","Chemistry","Firmware","Rudolph Autopol V plus Polarimeter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"57","BMW","BMW-LAS_067","LAS_067","4C5BAL400033","LOW",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo XPE105 Analytical Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"58","BMW","BMW-LAS_068","LAS_068","4C5BAL400034","LOW",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo XS4002S Top Loader",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"59","BMW","BMW-LAS_069","LAS_069","4C5BAL401286","LOW",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo XPE204 Analytical Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"60","BMW","BMW-LAS_070","LAS_070","4C5MET04509","LOW",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo MS105DU balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"61","BMW","BMW-LAS_071","LAS_071","4C5MET04510","LOW",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo XP105DR Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"62","BMW","BMW-LAS_072","LAS_072","4C5MET04511","LOW",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo XP105DR Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"63","BMW","BMW-LAS_073","LAS_073","4C5MET401847","LOW",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo MS204 Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"64","BMW","BMW-LAS_074","LAS_074","4C5MET401848","LOW",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo XPE105 Analytical Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"65","BMW","BMW-LAS_075","LAS_075","4C5MET401849","LOW",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo XS4002S",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"66","BMW","BMW-LAS_076","LAS_076","4C5MET401937","LOW",,"Broadmeadows","Chemistry","Firmware","Mettler Toledo MS204 Analytical Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"67","BMW","BMW-LAS_077","LAS_077","4C6BAL00081","LOW",,"Broadmeadows","BioChem","Firmware","Sartorius Quintix 612-IS Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"68","BMW","BMW-LAS_078","LAS_078","4C6BAL00082","LOW",,"Broadmeadows","BioChem","Firmware","Sartorius Quintix 5102-IS Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"69","BMW","BMW-LAS_079","LAS_079","4C6BAL00083","LOW",,"Broadmeadows","BioChem","Firmware","Sartorius Quintix 224-1S Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"70","BMW","BMW-LAS_080","LAS_080","4C6BAL00085","LOW",,"Broadmeadows","BioChem","Firmware","Sartorius Quintix 612-IS Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"71","BMW","BMW-LAS_081","LAS_081","4C6BAL401319","LOW",,"Broadmeadows","BioChem","Firmware","Sartorius Cubis MSA225S-1TR-DU Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"72","BMW","BMW-LAS_082","LAS_082","4C6MET402280","LOW",,"Broadmeadows","BioChem","Firmware","Mettler Toledo UV 5 UV Vis",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"73","BMW","BMW-LAS_083","LAS_083","4C4BAL00019","LOW",,"Broadmeadows","Microbiology","Firmware","Balance",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"74","BMW","BMW-LAS_084","LAS_084","4C4MET401962","MEDIUM",,"Broadmeadows","Microbiology","Maldi Biotyper RTC v4.0 (Build 19) Flexcontrol v3.4 (B135)","Maldi TOF",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"75","BMW","BMW-LAS_085","LAS_085","MET400436","LOW",,"Broadmeadows","Microbiology","Firmware","pH Meter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"76","BMW","BMW-LAS_086","LAS_086","4C6MET402667","MEDIUM",,"Broadmeadows","BioChem","Spife Touch 1.0.1.0","Helena Spife Touch",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"77","BMW","BMW-LAS_087","LAS_087","4C4MET04464","LOW",,"Broadmeadows","Non-Production Area","Firmware","Lasair Particle Counter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"78","BMW","BMW-LAS_089","LAS_089","4C5MET402493","LOW",,"Broadmeadows","Chemistry","Firmware","Thermobalances",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"79","BMW","BMW-LAS_090","LAS_090","4C5MET402494","LOW",,"Broadmeadows","Chemistry","Firmware","Thermobalances",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"80","BMW","BMW-LAS_091","LAS_091","4C5MET402495","LOW",,"Broadmeadows","Chemistry","Firmware","Thermobalances",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"81","BMW","BMW-LAS_092","LAS_092","4C5MET402496","LOW",,"Broadmeadows","Chemistry","Firmware","Thermobalances",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"82","BMW","BMW-LAS_093","LAS_093","4C4MET04466","LOW",,"Broadmeadows","Non-Production Area","Firmware","Lasair Particle Counter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"83","BMW","BMW-LAS_094","LAS_094","4C4MET401466","LOW",,"Broadmeadows","Non-Production Area","Firmware","Lasair Particle Counter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"84","BMW","BMW-LAS_095","LAS_095","4C4MET401467","LOW",,"Broadmeadows","Non-Production Area","Firmware","Lasair Particle Counter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"85","BMW","BMW-LAS_096","LAS_096","4C4MET401468","LOW",,"Broadmeadows","Non-Production Area","Firmware","Lasair Particle Counter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"86","BMW","BMW-LAS_097","LAS_097","4C4MET401469","LOW",,"Broadmeadows","Non-Production Area","Firmware","Lasair Particle Counter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"87","BMW","BMW-LAS_098","LAS_098","4C4MET04467","LOW",,"Broadmeadows","Non-Production Area","Firmware","Lasair Particle Counter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"88","BMW","BMW-LAS_099","LAS_099","4C4MET04465","LOW",,"Broadmeadows","Non-Production Area","Firmware","Lasair Particle Counter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"89","BMW","BMW-LAS_100","LAS_100","4C4MET401470","LOW",,"Broadmeadows","Non-Production Area","Firmware","Lasair Particle Counter",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"90","BMW","BMW-PCS_001","PCS_001","PL55/PL56","MEDIUM",,"999 PMCS (33A / 33B)","Toll Process","RS LOGIX 500","-40C Cold Room",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"91","BMW","BMW-PCS_006","PCS_006","110FRZ001","MEDIUM",,"110","Toll Process","Raritan Dominion KX II","Cryo Freezer (PFF) PreVI",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"92","BMW","BMW-PCS_007","PCS_007","110FRZ002","MEDIUM",,"110","Toll Process","Raritan Dominion KX II","Cryo Freezer (PFF) PostVI",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
"93","BMW","BMW-PCS_008","PCS_008","110SW11001","MEDIUM",,"110","Toll Process","Siemes HMI","COP Washer (AS13) Controller",,"9/20/2023 10:44 AM","9/20/2023 10:44 AM","Patel, Nehul US/GLB EXT","Patel, Nehul US/GLB EXT"
